Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
11,-2.914417183712501e-06,-3.957156473830213e-06,-5.5263232269291665e-06,-7.4734142749126714e-06,7.533691192323899e-09,-7.982089715525937e-09,0.0003423597477745044,0.0005806084831735268,0.0006385227798322602,0.00104994827439412,1.4574412530262293e-06,4.0368817683417975e-05,-9.383759077961998e-05,-0.00012070509454451981,-0.0001757239360426,-0.0002253921597372199,4.1875100216315744e-07,-2.036878051671145e-07,-0.008512733178060655,-0.006815533338749953,-0.008654856806175233,-0.00711788804950916,0.005169121689591914,-0.00019772909323536334,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,7.658432644118459e-05,0.00011780872601728298,0.00014302990444575573,0.00022310393597023987,1.316310906751886e-06,1.3289882688984259e-05
12,-2.100581412209377e-06,-3.0740186989699997e-06,-3.905394138102873e-06,-5.800596319560034e-06,0.0,-8.036966409197324e-09,0.0002167989731807734,0.00036775198898984215,0.0004047546018141623,0.0006708941005356311,4.5020446504911705e-07,1.8816322334467397e-05,-6.867648929360999e-05,-9.294727648016007e-05,-0.00012846334582104996,-0.00017327322311736003,1.4194880873929034e-07,-4.870518130901518e-07,-0.009689074543991729,-0.008358945134229875,-0.009648794900906359,-0.00864606845540739,0.0,-0.00042712737730238364,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,5.6065143165394185e-05,8.860680265862591e-05,0.00010471044825785362,0.00016679403701087763,6.703120280701723e-07,7.726016580696982e-06
13,-1.6071409419551324e-06,-2.3498087388250042e-06,-3.0003654507917885e-06,-4.494062325514666e-06,0.0,-1.677855833569102e-08,0.00013683095959213855,0.00023165530085747556,0.0002555644661482156,0.000425878148110869,1.6121399589264603e-07,8.09256871020435e-06,-4.7752604172361906e-05,-7.093933858835999e-05,-8.931905246389e-05,-0.00013194531401627003,9.299626609611667e-08,-7.176178337853693e-07,-0.011745448155487967,-0.01014355695780391,-0.011740151109472767,-0.010552460475959254,0.0,-0.002073329116691224,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,4.0155822963371784e-05,6.609776767592737e-05,7.503090301868686e-05,0.00012406462579273912,3.557874092487247e-07,4.099901279296295e-06
14,-1.1056879630728015e-06,-1.8044910110767898e-06,-2.074588029087053e-06,-3.3513801500665145e-06,0.0,7.855407085317722e-09,8.542231621820503e-05,0.0001452330459208808,0.00015958334958104785,0.00026868029666306,5.829508510491616e-08,3.1374838267552718e-06,-3.366233855654385e-05,-5.512595982558591e-05,-6.294674763157284e-05,-0.00010299909746182002,4.586104358506882e-08,-2.096266502647812e-08,-0.012943783451720073,-0.012424796296428498,-0.013000028101512111,-0.012473486860368222,0.0,0.002503728311945321,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,2.8332367245007912e-05,4.8565471148669185e-05,5.292991729978082e-05,9.084823494401339e-05,2.2028772498052568e-07,2.152381962141692e-06
15,-7.719064588970233e-07,-1.3238461332157803e-06,-1.4425095993221592e-06,-2.466454120718009e-06,0.0,1.14267997434582e-09,5.286303161490788e-05,9.022198504580979e-05,9.876749268377939e-05,0.0001676513401304712,2.4105198996959063e-08,1.0959197248359867e-06,-2.2774974859237262e-05,-3.985584934120048e-05,-4.256101173932951e-05,-7.468806307609956e-05,0.0,2.3822290328376892e-07,-0.0146020089146635,-0.014673210000241112,-0.014605104980649802,-0.01471180676992228,0.0,0.0010426675863661743,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,1.946155954160996e-05,3.4805459469027505e-05,3.635971440207137e-05,6.50520849678049e-05,1.4038419950773315e-07,1.0829865174636743e-06
16,-5.040779366425541e-07,-9.1411457898437e-07,-9.420017853626705e-07,-1.6892294831742357e-06,0.0,0.0,3.213769284439202e-05,5.595673218086138e-05,6.0054713029097494e-05,0.00010427043662366728,3.4439948645793202e-09,3.4461487262973507e-07,-1.508396122601289e-05,-2.8041390456287282e-05,-2.818833631141657e-05,-5.2452517157809746e-05,0.0,5.735414231486884e-08,-0.01568494474955799,-0.016336096540266166,-0.015685726196148088,-0.016200464272255813,0.0,0.0,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,1.3223083853282728e-05,2.5028414515583867e-05,2.4711368540049045e-05,4.682494405295482e-05,2.3103019894078624e-08,6.441938749872001e-07
17,-3.4119473133098274e-07,-6.425284324670726e-07,-6.376118110046041e-07,-1.2021697987653197e-06,0.0,0.0,1.929018179430151e-05,3.451591804150301e-05,3.6048762243462106e-05,6.44480900403929e-05,0.0,6.210251048734601e-08,-1.012313800445291e-05,-1.926311315055444e-05,-1.891773747762623e-05,-3.5985123006761435e-05,0.0,-1.502641246522059e-08,-0.017687481381423512,-0.01861542351834526,-0.017687481381423655,-0.01865330373657092,,0.0,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,9.058521781617864e-06,1.7805712014812933e-05,1.692822294081293e-05,3.3297674961321877e-05,0.0,2.387433015212256e-07
18,-2.0700293639404036e-07,-4.3009138724693214e-07,-3.8683925933615217e-07,-7.994886318968407e-07,0.0,0.0,1.1456341454066856e-05,2.1083822674397173e-05,2.1409177666722562e-05,3.9382479901399446e-05,0.0,2.0915492532742736e-08,-6.788896792039404e-06,-1.2915180324025776e-05,-1.2686833590336015e-05,-2.4135400578224916e-05,0.0,0.0,-0.018068851842798116,-0.020399118029445735,-0.018068851842798113,-0.02030061676914437,,0.0,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,6.144960824346606e-06,1.2383068456947569e-05,1.1483470405535513e-05,2.3161729790113456e-05,0.0,1.1951310099281892e-07
19,-1.3013828641230266e-07,-2.815177989768934e-07,-2.4319750822849e-07,-5.260898166143132e-07,0.0,0.0,6.65547156085815e-06,1.275179818115039e-05,1.243749356402518e-05,2.382700244582347e-05,0.0,3.5403962695177467e-09,-4.26123095169428e-06,-8.257112790705563e-06,-7.963227256235e-06,-1.543058012535309e-05,0.0,0.0,-0.019553578619081767,-0.022076713807549973,-0.01955357861908178,-0.022079563629982722,,0.0,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,4.149273307363572e-06,8.529941167298999e-06,7.754005044394153e-06,1.5944143146640166e-05,0.0,2.3749700177785047e-08
20,-7.468452900159808e-08,-1.7436486718926094e-07,-1.3956762346526475e-07,-3.2584646987491793e-07,0.0,0.0,3.7976326209203348e-06,7.551611414595461e-06,7.096872227508785e-06,1.411216583351155e-05,0.0,0.0,-2.46970280486432e-06,-4.929769954478724e-06,-4.615287205373366e-06,-9.212567662605726e-06,0.0,0.0,-0.019666075278102785,-0.023089756293902426,-0.019666075278102785,-0.023089756293902416,,,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,2.7542360408937656e-06,5.545738366134047e-06,5.1470121567171875e-06,1.0363666136328012e-05,0.0,0.0
